cultivo,anio,campania,provincia,departamento,rendimiento_kgxha,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm
girasol,1969,1969/1970,Chaco,12 de Octubre,538,8500,6500,3500
girasol,1969,1969/1970,Chaco,25 de Mayo,839,3500,3100,2600
girasol,1969,1969/1970,Chaco,9 de Julio,704,3500,2700,1900
girasol,1969,1969/1970,Chaco,Almirante Brown,0,200,0,0
girasol,1969,1969/1970,Chaco,Chacabuco,636,3000,2200,1400
girasol,1969,1969/1970,Chaco,Comandante Fernandez,755,6000,5300,4000
girasol,1969,1969/1970,Chaco,Fray Justo Santa Maria de Oro,632,2200,1900,1200
girasol,1969,1969/1970,Chaco,General Belgrano,611,2500,1800,1100
girasol,1969,1969/1970,Chaco,General Güemes,636,2800,2200,1400
girasol,1969,1969/1970,Chaco,Independencia,744,2500,2150,1600
girasol,1969,1969/1970,Chaco,Libertad,778,200,180,140
girasol,1969,1969/1970,Chaco,Libertador General San Martin,933,1600,1500,1400
girasol,1969,1969/1970,Chaco,Maipu,1092,7000,6500,7100
girasol,1969,1969/1970,Chaco,Mayor Luis J. Fontana,650,2500,2000,1300
girasol,1969,1969/1970,Chaco,O'Higgins,742,3500,3100,2300
girasol,1969,1969/1970,Chaco,Presidencia de la Plaza,767,500,430,330
girasol,1969,1969/1970,Chaco,Quitilipi,922,6500,6000,5530
girasol,1969,1969/1970,Chaco,San Fernando,857,800,700,600
girasol,1969,1969/1970,Chaco,San Lorenzo,727,2500,2200,1600
girasol,1969,1969/1970,Chaco,Sargento Cabral,909,500,440,400
girasol,1970,1970/1971,Chaco,1 de Mayo,667,150,150,100
girasol,1970,1970/1971,Chaco,12 de Octubre,471,12500,8500,4000
girasol,1970,1970/1971,Chaco,25 de Mayo,597,9500,6200,3700
girasol,1970,1970/1971,Chaco,9 de Julio,465,6500,4300,2000
girasol,1970,1970/1971,Chaco,Almirante Brown,444,1500,900,400
girasol,1970,1970/1971,Chaco,Chacabuco,444,7000,4500,2000
girasol,1970,1970/1971,Chaco,Comandante Fernandez,533,21000,15000,8000
girasol,1970,1970/1971,Chaco,Fray Justo Santa Maria de Oro,500,10000,6000,3000
girasol,1970,1970/1971,Chaco,General Belgrano,482,8000,5600,2700
girasol,1970,1970/1971,Chaco,General Donovan,750,200,200,150
girasol,1970,1970/1971,Chaco,General Güemes,341,6800,4100,1400
girasol,1970,1970/1971,Chaco,Independencia,475,6000,4000,1900
girasol,1970,1970/1971,Chaco,Libertad,667,300,300,200
girasol,1970,1970/1971,Chaco,Libertador General San Martin,1000,6000,5500,5500
girasol,1970,1970/1971,Chaco,Maipu,455,18000,11000,5000
girasol,1970,1970/1971,Chaco,Mayor Luis J. Fontana,567,9000,6000,3400
girasol,1970,1970/1971,Chaco,O'Higgins,457,7000,4600,2100
girasol,1970,1970/1971,Chaco,Presidencia de la Plaza,481,1500,1350,650
girasol,1970,1970/1971,Chaco,Quitilipi,545,16500,11000,6000
girasol,1970,1970/1971,Chaco,San Fernando,700,1500,1500,1050
girasol,1970,1970/1971,Chaco,San Lorenzo,452,3000,2100,950
girasol,1970,1970/1971,Chaco,Sargento Cabral,800,1500,1500,1200
girasol,1971,1971/1972,Chaco,1 de Mayo,800,50,50,40
girasol,1971,1971/1972,Chaco,12 de Octubre,432,13000,12500,5400
girasol,1971,1971/1972,Chaco,25 de Mayo,633,10000,9800,6200
girasol,1971,1971/1972,Chaco,9 de Julio,440,6000,5000,2200
girasol,1971,1971/1972,Chaco,Almirante Brown,444,1000,900,400
